==85434== NVPROF is profiling process 85434, command: ./bin/spmv -m ./res/shipsec1.mtx --prof --opt 1 --dd-p 99
==85434== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==85434== Profiling application: ./bin/spmv -m ./res/shipsec1.mtx --prof --opt 1 --dd-p 99
==85434== Profiling result:
==85434== Metric result:
Invocations                               Metric Name                                               Metric Description         Min         Max         Avg
Device "Tesla V100-SXM3-32GB (0)"
    Kernel: void kernel_spmv_CSR_vector_Mixed_Entrywise_Split<unsigned int=32>(unsigned int, float const *, float const *, int const *, int const *, double const *, double const *, int const *, int const *, double*)
          1                   stall_memory_dependency                               Issue Stall Reasons (Data Request)      77.71%      77.71%      77.71%
          1                             stall_texture                                    Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
          1                                stall_sync                            Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
          1                               stall_other                                      Issue Stall Reasons (Other)       0.62%       0.62%       0.62%
          1          stall_constant_memory_dependency                         Issue Stall Reasons (Immediate constant)       0.09%       0.09%       0.09%
          1                           stall_pipe_busy                                  Issue Stall Reasons (Pipe Busy)       1.84%       1.84%       1.84%
          1                         shared_efficiency                                         Shared Memory Efficiency      66.52%      66.52%      66.52%
          1                                inst_fp_32                                          FP Instructions(Single)     4560318     4560318     4560318
          1                                inst_fp_64                                          FP Instructions(Double)    30353244    30353244    30353244
          1                              inst_integer                                             Integer Instructions   160861477   160861477   160861477
          1                          inst_bit_convert                                         Bit-Convert Instructions     4560318     4560318     4560318
          1                              inst_control                                        Control-Flow Instructions   107929384   107929384   107929384
          1                        inst_compute_ld_st                                          Load/Store Instructions    92468472    92468472    92468472
          1                                 inst_misc                                                Misc Instructions    76606924    76606924    76606924
          1           inst_inter_thread_communication                                        Inter-Thread Instructions           0           0           0
          1                               issue_slots                                                      Issue Slots    22224194    22224194    22224194
          1                                 cf_issued                                 Issued Control-Flow Instructions     7652173     7652173     7652173
          1                               cf_executed                               Executed Control-Flow Instructions     7652173     7652173     7652173
          1                               ldst_issued                                   Issued Load/Store Instructions     4624591     4624591     4624591
          1                             ldst_executed                                 Executed Load/Store Instructions     4624591     4624591     4624591
          1                       atomic_transactions                                              Atomic Transactions           0           0           0
          1           atomic_transactions_per_request                                  Atomic Transactions Per Request    0.000000    0.000000    0.000000
          1                      l2_atomic_throughput                                  L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          1                    l2_atomic_transactions                                L2 Transactions (Atomic requests)           0           0           0
          1                  l2_tex_read_transactions                                  L2 Transactions (Texture Reads)     3644994     3644994     3644994
          1                     stall_memory_throttle                            Issue Stall Reasons (Memory Throttle)       0.14%       0.14%       0.14%
          1                        stall_not_selected                               Issue Stall Reasons (Not Selected)       2.18%       2.18%       2.18%
          1                 l2_tex_write_transactions                                 L2 Transactions (Texture Writes)      140874      140874      140874
          1                             flop_count_hp                        Floating Point Operations(Half Precision)           0           0           0
          1                         flop_count_hp_add                    Floating Point Operations(Half Precision Add)           0           0           0
          1                         flop_count_hp_mul                     Floating Point Operation(Half Precision Mul)           0           0           0
          1                         flop_count_hp_fma                    Floating Point Operations(Half Precision FMA)           0           0           0
          1                                inst_fp_16                                            HP Instructions(Half)           0           0           0
          1                                       ipc                                                     Executed IPC    1.412423    1.412423    1.412423
