==90682== NVPROF is profiling process 90682, command: ./bin/spmv -m ./res/barrier2-9.mtx --prof --opt 1 --dd-p 99
==90682== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==90682== Profiling application: ./bin/spmv -m ./res/barrier2-9.mtx --prof --opt 1 --dd-p 99
==90682== Profiling result:
==90682== Metric result:
Invocations                               Metric Name                                               Metric Description         Min         Max         Avg
Device "Tesla V100-SXM3-32GB (0)"
    Kernel: void kernel_spmv_CSR_vector_Mixed_Entrywise_Split<unsigned int=32>(unsigned int, float const *, float const *, int const *, int const *, double const *, double const *, int const *, int const *, double*)
          1                             stall_texture                                    Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
          1                                stall_sync                            Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
          1                               stall_other                                      Issue Stall Reasons (Other)       0.75%       0.75%       0.75%
          1          stall_constant_memory_dependency                         Issue Stall Reasons (Immediate constant)       0.08%       0.08%       0.08%
          1                           stall_pipe_busy                                  Issue Stall Reasons (Pipe Busy)       2.93%       2.93%       2.93%
          1                         shared_efficiency                                         Shared Memory Efficiency      66.72%      66.72%      66.72%
          1                                inst_fp_32                                          FP Instructions(Single)     2954931     2954931     2954931
          1                                inst_fp_64                                          FP Instructions(Double)    22397557    22397557    22397557
          1                              inst_integer                                             Integer Instructions   109439625   109439625   109439625
          1                          inst_bit_convert                                         Bit-Convert Instructions     2954931     2954931     2954931
          1                              inst_control                                        Control-Flow Instructions    74011384    74011384    74011384
          1                        inst_compute_ld_st                                          Load/Store Instructions    68348921    68348921    68348921
          1                                 inst_misc                                                Misc Instructions    52296181    52296181    52296181
          1           inst_inter_thread_communication                                        Inter-Thread Instructions           0           0           0
          1                               issue_slots                                                      Issue Slots    17467507    17467507    17467507
          1                                 cf_issued                                 Issued Control-Flow Instructions     6200098     6200098     6200098
          1                               cf_executed                               Executed Control-Flow Instructions     6200098     6200098     6200098
          1                               ldst_issued                                   Issued Load/Store Instructions     3628464     3628464     3628464
          1                             ldst_executed                                 Executed Load/Store Instructions     3628464     3628464     3628464
          1                       atomic_transactions                                              Atomic Transactions           0           0           0
          1           atomic_transactions_per_request                                  Atomic Transactions Per Request    0.000000    0.000000    0.000000
          1                      l2_atomic_throughput                                  L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          1                    l2_atomic_transactions                                L2 Transactions (Atomic requests)           0           0           0
          1                  l2_tex_read_transactions                                  L2 Transactions (Texture Reads)     2617511     2617511     2617511
          1                     stall_memory_throttle                            Issue Stall Reasons (Memory Throttle)       0.18%       0.18%       0.18%
          1                        stall_not_selected                               Issue Stall Reasons (Not Selected)       2.87%       2.87%       2.87%
          1                 l2_tex_write_transactions                                 L2 Transactions (Texture Writes)      115625      115625      115625
