==86805== NVPROF is profiling process 86805, command: ./bin/spmv -m ./res/pwtk.mtx --prof --opt 1 --dd-p 99
==86805== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==86805== Profiling application: ./bin/spmv -m ./res/pwtk.mtx --prof --opt 1 --dd-p 99
==86805== Profiling result:
==86805== Metric result:
Invocations                               Metric Name                                               Metric Description         Min         Max         Avg
Device "Tesla V100-SXM3-32GB (0)"
    Kernel: void kernel_spmv_CSR_vector_Mixed_Entrywise_Split<unsigned int=32>(unsigned int, float const *, float const *, int const *, int const *, double const *, double const *, int const *, int const *, double*)
          1                             stall_texture                                    Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
          1                                stall_sync                            Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
          1                               stall_other                                      Issue Stall Reasons (Other)       0.78%       0.78%       0.78%
          1          stall_constant_memory_dependency                         Issue Stall Reasons (Immediate constant)       0.03%       0.03%       0.03%
          1                           stall_pipe_busy                                  Issue Stall Reasons (Pipe Busy)       1.43%       1.43%       1.43%
          1                         shared_efficiency                                         Shared Memory Efficiency      66.25%      66.25%      66.25%
          1                                inst_fp_32                                          FP Instructions(Single)     1534027     1534027     1534027
          1                                inst_fp_64                                          FP Instructions(Double)    46501304    46501304    46501304
          1                              inst_integer                                             Integer Instructions   246838768   246838768   246838768
          1                          inst_bit_convert                                         Bit-Convert Instructions     1534027     1534027     1534027
          1                              inst_control                                        Control-Flow Instructions   159164505   159164505   159164505
          1                        inst_compute_ld_st                                          Load/Store Instructions   141683092   141683092   141683092
          1                                 inst_misc                                                Misc Instructions   121540175   121540175   121540175
          1           inst_inter_thread_communication                                        Inter-Thread Instructions           0           0           0
          1                               issue_slots                                                      Issue Slots    35641039    35641039    35641039
          1                                 cf_issued                                 Issued Control-Flow Instructions    11610448    11610448    11610448
          1                               cf_executed                               Executed Control-Flow Instructions    11610448    11610448    11610448
          1                               ldst_issued                                   Issued Load/Store Instructions     7609588     7609588     7609588
          1                             ldst_executed                                 Executed Load/Store Instructions     7609588     7609588     7609588
          1                       atomic_transactions                                              Atomic Transactions           0           0           0
          1           atomic_transactions_per_request                                  Atomic Transactions Per Request    0.000000    0.000000    0.000000
          1                      l2_atomic_throughput                                  L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          1                    l2_atomic_transactions                                L2 Transactions (Atomic requests)           0           0           0
          1                  l2_tex_read_transactions                                  L2 Transactions (Texture Reads)     5713641     5713641     5713641
          1                     stall_memory_throttle                            Issue Stall Reasons (Memory Throttle)       0.11%       0.11%       0.11%
          1                        stall_not_selected                               Issue Stall Reasons (Not Selected)       2.26%       2.26%       2.26%
          1                 l2_tex_write_transactions                                 L2 Transactions (Texture Writes)      217918      217918      217918
