matrix,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr
heart02_A_transviso_forward_dt0005_fv,2937795,210101,210101,0,r,1.0,0,13.982775,6,17,323269,2404425,11.851,2304138,423556,84.47200000000001,1146120,1581574,42.018,621.212708,561.033203,752.68689,714.449829,622.288269,610.133972,716.913513,1.030134,0.767835,0.808929,0.928732,0.947233,0.806149,0.0,3.19279e-08,2.63786e-10,2.17142e-08,1.92775e-08,1.92775e-08,1.92775e-08
heart02_A_uniform_forward_dt0001_fv,2937795,210101,210101,0,r,1.0,0,13.982775,6,17,1109607,1618087,40.679,2373794,353900,87.02600000000001,1536328,1191366,56.323,621.687378,563.215576,753.586121,711.926758,608.639465,601.954102,714.834473,1.02671,0.767343,0.812245,0.950084,0.960636,0.808941,0.0,1.6789e-08,1.5489e-09,1.26175e-08,1.15505e-08,1.15505e-08,1.15505e-08
heart03_A_transviso_forward_dt0005_fv,23597002,1607708,1607708,0,r,1.0,0,14.677418,6,17,1274691,20714603,5.797,18580790,3408504,84.499,8786516,13202778,39.958,4603.114746,3908.751465,5314.824219,5118.96582,4508.306641,4472.208984,5237.453613,1.114429,0.819599,0.850958,0.966222,0.974021,0.831707,0.0,3.15512e-08,6.31986e-11,2.09586e-08,1.91106e-08,1.91106e-08,1.91106e-08
heart03_A_uniform_forward_dt0001_fv,23597002,1607708,1607708,0,r,1.0,0,14.677418,6,17,6341847,15647447,28.841,19175689,2813605,87.205,12189214,9800080,55.432,4605.648438,3909.692383,5599.022461,5074.550293,4392.756348,4379.549805,5194.933594,1.118099,0.780748,0.861441,0.995144,0.998145,0.841478,0.0,1.98704e-08,2.67201e-10,1.73414e-08,1.63719e-08,1.63719e-08,1.63719e-08
heart04_A_transviso_forward_dt0005_fv,44986514,3031704,3031704,0,r,1.0,0,14.838689,6,17,1955407,39999403,4.661,35401615,6553195,84.38,16184997,25769813,38.577,9142.325195,7657.660156,10252.40625,10018.794922,8826.351562,8930.041016,10399.776367,1.150033,0.858975,0.879004,0.997758,0.986173,0.846803,0.0,3.23949e-08,4.15361e-11,2.09378e-08,1.90827e-08,1.90827e-08,1.90827e-08
heart04_A_uniform_forward_dt0001_fv,44986514,3031704,3031704,0,r,1.0,0,14.838689,6,17,11534419,30420391,27.492,36662658,5292152,87.386,23092719,18862091,55.042,9141.582031,7659.47168,10917.371094,9781.469727,8508.514648,8658.87207,10300.493164,1.149685,0.806602,0.900271,1.034961,1.016989,0.854908,0.0,1.981e-08,1.51242e-10,1.73594e-08,1.67545e-08,1.67545e-08,1.67545e-08
heart05_A_uniform_forward_dt0001_fv,107994304,7205076,7205076,0,r,1.0,0,14.988642,6,17,26559007,74230221,26.351000000000003,88105400,12683828,87.41499999999999,55383569,45405659,54.949999999999996,23634.791016,19691.117188,27593.794922,24852.632812,21735.869141,22019.105469,27255.8125,1.164993,0.831347,0.923042,1.055399,1.041823,0.841656,0.0,1.97578e-08,6.95895e-11,1.73514e-08,1.69306e-08,1.69306e-08,1.69306e-08
heart06_A_uniform_forward_dt0001_fv,357427713,23595379,23595379,0,r,1.0,0,15.148208,5,17,85152622,248679712,25.507999999999996,292205258,41627076,87.531,182561786,151270548,54.687,99205.09375,77788.828125,117498.164062,105593.554688,87289.90625,88665.0,129291.78125,1.360367,0.900621,1.002157,1.212298,1.193496,0.818469,0.0,1.97452e-08,2.43556e-11,1.73766e-08,1.69745e-08,1.69745e-08,1.69745e-08
heart07_A_uniform_forward_dt0001_fv,846710472,55603164,55603164,0,r,1.0,0,15.227739,4,17,199191048,591916260,25.179000000000002,692924440,98182868,87.589,431400052,359707256,54.531,397928.96875,250853.265625,538979.9375,395473.15625,321531.8125,314011.59375,567372.75,1.804109,0.839673,1.144368,1.407533,1.441242,0.797653,0.0,3.06436e-08,1.34924e-11,2.91255e-08,2.89067e-08,2.89067e-08,2.89067e-08
