matrix,nnz,rows,cols,sym,type,range-a-p,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-prc,ent-prc,row-prc-a-p,row-prc-a-n,row-prc-f-p,row-prc-f-n,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt-a-p,row-split-rt-a-n,row-split-rt-f-p,row-split-rt-f-n,row-comp-rt-a-p,row-dual-rt-a-p,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup-a-p,row-split-spup-a-n,row-split-spup-f-p,row-split-spup-f-n,row-comp-spup-a-p,row-dual-spup-a-p,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr-a-p,row-split-relerr-a-n,row-split-relerr-f-p,row-split-relerr-f-n,row-comp-relerr-a-p,row-dual-relerr-a-p,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr
TSOPF_FS_b39_c7,730080,28216,28216,1,r,0.242315,0,25.874681,1,14024,78.726,78.69699999999999,20.482,0.0,20.501,19.215,155.426086,109.292221,149.462311,149.940582,161.124832,211.324127,164.104477,172.008224,159.05603,159.312836,1.422115,1.039902,1.036585,0.964631,0.735487,0.947117,0.903597,0.977178,0.975603,0.0,4.28893e-08,4.01477e-12,2.73478e-13,1.57557e-10,0.0,1.57601e-10,2.63003e-12,1.57557e-10,1.57557e-10,104.609535,1.485774,5.88534e-08
TSOPF_FS_b39_c30,3121160,120216,120216,1,r,0.1198,0,25.962933,1,60024,78.84100000000001,78.834,20.502000000000002,0.0,20.506,19.233,690.408875,659.23584,658.897949,658.249451,697.378601,906.228027,717.363281,710.901733,687.395996,708.345093,1.047287,1.047824,1.048856,0.990006,0.761849,0.962426,0.971173,1.004383,0.974679,0.0,4.18021e-08,4.06761e-12,2.67987e-13,2.39582e-10,0.0,2.39613e-10,2.07232e-12,2.39582e-10,2.39582e-10,630.926575,1.094278,7.31583e-08
c-64,717841,51035,51035,1,r,31.781661,0,14.065661,2,9474,45.629999999999995,85.15899999999999,55.144999999999996,28.77,6.517,0.018000000000000002,197.012253,176.391296,205.597473,229.009537,222.41008,227.043488,196.498428,197.927872,206.143845,389.943329,1.116905,0.958243,0.86028,0.885806,0.867729,1.002615,0.995374,0.955703,0.505233,0.0,5.4981e-08,4.28559e-12,5.53999e-11,5.85813e-10,2.8365e-11,4.80495e-10,9.03218e-14,5.85813e-10,5.85813e-10,150.576385,1.308387,1.46977e-07
TSOPF_FS_b162_c4,2398220,40798,40798,1,r,1.246466,0,58.782783,1,20054,85.414,88.81700000000001,53.815000000000005,53.364999999999995,21.596,19.169,255.638245,229.91069,238.615814,236.540283,253.343781,254.334564,258.661346,328.038116,252.298431,243.200027,1.111902,1.071338,1.080739,1.009057,1.005126,0.988313,0.779294,1.013238,1.051144,0.0,4.62596e-08,4.93298e-12,8.53103e-12,1.02536e-10,3.32558e-12,1.02463e-10,3.41538e-13,1.02536e-10,1.02536e-10,224.653061,1.137925,6.75727e-08
G3_circuit,7660826,1585478,1585478,1,r,17.612559,0,4.831872,2,6,7.835,37.238,34.737,33.328,2.349,0.0,453.048218,381.429352,495.66333,460.850494,428.413269,427.844238,450.055481,453.07132,422.859039,440.5625,1.187764,0.914024,0.98307,1.057503,1.058909,1.00665,0.999949,1.071393,1.02834,0.0,4.70437e-08,5.47078e-12,8.16724e-11,8.94683e-11,7.54907e-11,4.54014e-12,0.0,8.94683e-11,8.94683e-11,356.640228,1.270323,5.87829e-08
rajat23,556938,110355,110355,0,r,1.938896,0,5.046785,1,3401,74.91,81.066,54.232,48.608000000000004,44.992,35.541,135.434265,88.463295,146.365082,143.967621,155.800125,145.220474,141.374695,141.399078,156.944962,151.513657,1.530966,0.925318,0.940727,0.869282,0.932611,0.957981,0.957816,0.862941,0.893875,0.0,2.40055e-08,5.80463e-12,1.0144e-11,6.19415e-10,8.88626e-12,6.1261e-10,5.07815e-12,6.19415e-10,6.19415e-10,82.569633,1.640243,9.54246e-08
circuit_4,307604,80209,80209,0,r,4.060326,0,3.835031,1,6750,56.325,97.3,99.836,81.69999999999999,56.489,11.267000000000001,282.58548,287.647736,292.956573,293.738373,288.797821,290.116486,285.171509,289.804871,289.599274,290.033569,0.982401,0.964599,0.962031,0.978489,0.974041,0.990932,0.975089,0.975781,0.97432,0.0,4.41998e-08,6.18129e-12,1.08293e-10,4.41998e-08,1.04211e-10,3.61035e-11,5.31358e-12,4.41998e-08,4.41998e-08,271.076141,1.042458,5.67844e-08
circuit5M_dc,19194193,3523317,3523317,0,r,0.117164,0,5.447762,1,27,90.79899999999999,74.843,49.506,13.431999999999999,97.124,42.388,1161.872559,959.587463,1147.61853,1350.057373,1108.906494,1174.304443,967.596497,1071.235962,1119.725342,1486.318726,1.210804,1.012421,0.86061,1.047764,0.989413,1.200782,1.084609,1.037641,0.781712,0.0,3.13639e-08,6.28417e-12,5.72285e-13,3.13638e-08,1.5359e-17,3.13638e-08,4.82876e-12,3.13638e-08,3.13638e-08,894.039307,1.299577,3.13639e-08
rajat31,20316253,4690002,4690002,0,r,0.6154,0,4.331822,1,1252,53.836,53.836,23.079,23.073,23.079,23.073,1298.265259,1119.594727,1560.046021,1559.968262,1316.113892,1310.409668,1316.210693,1310.499023,1330.635498,1364.591064,1.159585,0.832197,0.832238,0.986438,0.990732,0.986366,0.990665,0.975673,0.951395,0.0,4.17595e-08,7.34991e-12,7.34991e-12,2.15365e-11,7.34985e-12,2.15365e-11,7.34985e-12,2.15365e-11,2.15365e-11,1032.414673,1.257504,7.00726e-08
rajat24,1948235,358172,358172,0,r,0.583288,0,5.439384,1,105296,83.986,74.51299999999999,40.256,30.115,58.695,47.675,3993.109863,3497.391846,3926.520508,4044.45166,4039.143799,4158.123047,3840.472412,4001.16333,4039.971924,4338.555176,1.141739,1.016959,0.987306,0.988603,0.960315,1.039744,0.997987,0.9884,0.920378,0.0,4.35844e-08,1.01711e-11,5.59282e-12,3.52374e-10,4.692e-12,3.57395e-10,8.70005e-12,3.52374e-10,3.52374e-10,3401.17749,1.174037,2.22259e-07
consph,6010480,83334,83334,1,r,26.706361,0,72.125183,1,81,22.128,65.054,46.796,39.671,0.061,0.026,192.771393,149.194595,209.940445,182.67984,174.789703,177.675461,192.870499,192.565765,174.114822,175.641571,1.29208,0.918219,1.055242,1.102876,1.084964,0.999486,1.001068,1.107151,1.097527,0.0,4.40682e-08,1.36669e-11,1.75024e-10,3.27378e-10,1.13744e-10,2.87965e-10,5.35134e-13,3.27378e-10,3.27378e-10,143.662338,1.341837,7.71948e-08
d_pretok,1641672,182730,182730,1,r,3.303547,0,8.984141,2,11,61.133,94.16,86.541,81.479,0.0,0.0,101.532227,89.516899,119.336067,101.191902,93.615486,94.764259,101.774338,101.844162,93.368927,99.835999,1.134224,0.850809,1.003363,1.084567,1.071419,0.997621,0.996937,1.087431,1.01699,0.0,4.40918e-08,1.70589e-11,6.99729e-11,1.02534e-10,5.71987e-11,0.0,0.0,1.02534e-10,1.02534e-10,79.42733,1.278303,6.32461e-08
rajat30,6175377,643994,643994,0,r,0.035451,0,9.589184,1,454746,99.177,78.669,41.25,6.182,98.71600000000001,79.367,8319.083984,7987.060059,8171.36084,8343.269531,8701.295898,8346.652344,9166.337891,9232.407227,8873.967773,8612.787109,1.04157,1.018078,0.997101,0.956074,0.996697,0.907569,0.901074,0.937471,0.965899,0.0,4.29582e-08,1.94836e-11,5.28417e-12,4.4376e-10,1.85949e-12,6.33946e-09,1.72808e-11,4.4376e-10,4.4376e-10,7690.586914,1.081723,9.28351e-08
brainpc2,179395,27607,27607,1,r,30.881369,0,6.498171,1,13799,66.52900000000001,69.19999999999999,23.080000000000002,23.076,19.234,19.23,290.923126,296.067566,295.732605,300.9823,304.290375,304.926636,301.817535,304.432983,304.997498,298.031464,0.982624,0.983737,0.966579,0.956071,0.954076,0.963904,0.955623,0.953854,0.976149,0.0,3.76416e-08,1.97181e-11,2.32277e-11,1.1753e-10,2.02995e-11,1.15766e-10,6.22573e-13,1.1753e-10,1.1753e-10,278.831787,1.043364,5.60092e-08
bloweya,150009,30004,30004,1,r,0.121326,0,4.999633,2,10001,26.669999999999998,26.667999999999996,13.333999999999998,13.333999999999998,13.333999999999998,13.333999999999998,208.209595,212.18045,219.384094,218.011749,212.665314,212.796005,212.964127,212.665466,213.249954,224.078461,0.981285,0.949064,0.955038,0.979048,0.978447,0.977674,0.979048,0.976364,0.929182,0.0,4.36891e-08,2.07151e-11,1.65643e-16,8.44253e-17,8.44253e-17,8.44253e-17,8.44253e-17,8.44253e-17,8.44253e-17,199.686844,1.042681,1.30149e-07
s3dkq4m2,4820891,90449,90449,1,r,4.04423,0,53.29955,13,54,81.238,81.961,49.903999999999996,49.902,49.902,49.813,172.990173,145.966599,160.615967,161.427902,162.429306,162.827225,162.835617,163.169754,162.035065,171.524826,1.185135,1.077042,1.071625,1.065018,1.062416,1.062361,1.060185,1.067609,1.008543,0.0,5.13902e-08,2.36497e-11,6.02798e-11,1.65224e-11,1.61426e-11,1.61426e-11,1.60304e-11,1.65224e-11,1.65224e-11,140.08934,1.234856,7.8316e-08
s3dkt3m2,3753461,90449,90449,1,r,9.111483,0,41.498093,7,42,75.747,79.152,50.014,49.903,31.65,31.394,155.460571,133.851456,150.586472,144.285278,143.244583,143.251007,146.181061,146.300766,140.615707,148.435547,1.161441,1.032367,1.077453,1.085281,1.085232,1.06348,1.062609,1.10557,1.047327,0.0,4.55871e-08,2.99524e-11,6.60514e-11,4.19264e-11,3.04939e-11,1.11819e-11,1.09074e-11,4.19264e-11,4.19264e-11,127.739166,1.217016,7.42269e-08
matrix-new_3,2678750,125329,125329,0,r,0.001895,0,21.373744,12,9358,98.10600000000001,98.03,96.284,60.504999999999995,96.56099999999999,61.716,247.292923,227.533569,250.235779,251.407928,231.457214,269.265686,231.172638,266.630219,228.835449,234.77095,1.086841,0.98824,0.983632,1.068417,0.918397,1.069733,0.927475,1.080658,1.053337,0.0,2.62e-08,3.82307e-11,2.14824e-11,2.4401e-08,1.81232e-11,2.4401e-08,3.82307e-11,2.4401e-08,2.4401e-08,214.56636,1.152524,2.83345e-08
FullChip,26621990,2987012,2987012,0,r,0.000271,0,8.912582,1,2312481,99.996,99.919,99.797,82.78,99.997,90.863,48938.363281,48050.976562,49811.15625,49831.710938,51000.433594,49053.414062,47225.894531,49362.851562,49908.613281,50135.003906,1.018468,0.982478,0.982073,0.959568,0.997655,1.036261,0.991401,0.980559,0.976132,0.0,2.0096e-08,4.37687e-11,7.46533e-14,1.60591e-08,4.90359e-14,1.71868e-08,3.89251e-11,1.60591e-08,1.60591e-08,46763.917969,1.046498,6.05435e-08
Raj1,1302464,263743,263743,0,r,0.517423,0,4.938383,1,40468,71.14200000000001,63.858000000000004,48.247,38.080000000000005,54.887,45.127,1509.933838,1308.203735,1536.440918,1555.316406,1683.562866,1495.2677,1674.175293,1514.572266,1682.128418,1510.848633,1.154204,0.982748,0.970821,0.896868,1.009808,0.901897,0.996937,0.897633,0.999395,0.0,3.45973e-08,6.40268e-11,3.06662e-11,8.52437e-10,1.92379e-11,8.54137e-10,3.82217e-11,8.52437e-10,8.52437e-10,1241.667969,1.216053,4.06456e-08
dc2,766396,116835,116835,0,r,0.346345,0,6.559644,1,114190,64.72099999999999,59.596000000000004,29.044999999999998,28.576,29.115000000000002,29.059,3910.44458,3652.303955,4024.4021,4086.905762,3772.231201,3813.291992,3772.692383,3806.662842,3807.3479,4123.431641,1.070679,0.971683,0.956823,1.03664,1.025477,1.036513,1.027263,1.027078,0.948347,0.0,4.1672e-08,6.51102e-11,1.55456e-11,7.52163e-12,6.90954e-12,5.63287e-11,7.55779e-12,7.52163e-12,7.52163e-12,3482.312744,1.122945,5.19794e-07
dc1,766396,116835,116835,0,r,0.344821,0,6.559644,1,114190,64.732,59.663,29.658,29.122999999999998,29.658,29.122999999999998,3910.672119,3652.469727,4024.775391,4080.280029,3776.009521,3807.634766,3776.54126,3806.899414,3788.01709,4152.152832,1.070693,0.97165,0.958432,1.035663,1.027061,1.035517,1.027259,1.03238,0.941842,0.0,3.48001e-08,8.87339e-11,1.2123e-12,3.27349e-10,9.78565e-13,3.27349e-10,9.78565e-13,3.27349e-10,3.27349e-10,3482.57959,1.122924,2.52569e-06
TSOPF_RS_b300_c3,4413449,42138,42138,0,r,0.009525,0,104.73798,1,209,97.109,97.087,98.021,0.0,98.03399999999999,0.01,152.083527,108.171204,117.198944,115.924034,109.004578,150.707779,108.91066,150.32576,108.913185,109.523842,1.405952,1.297653,1.311924,1.395203,1.009129,1.396406,1.011693,1.396374,1.388588,0.0,3.93497e-08,1.01102e-10,1.80449e-12,5.71321e-10,0.0,5.77883e-10,6.77876e-11,5.71321e-10,5.71321e-10,104.838173,1.45065,6.92959e-08
c-73,1279274,169422,169422,1,r,4.468673,0,7.550814,2,39937,43.279,85.119,88.872,11.834999999999999,13.014999999999999,0.0,1266.223755,1249.530396,1362.526123,1336.781494,1238.2677,1655.276855,1325.703979,1305.14209,1251.000732,1268.477661,1.01336,0.929321,0.947218,1.022577,0.764962,0.955133,0.970181,1.012169,0.998223,0.0,4.43782e-08,1.1191e-10,4.38048e-10,4.40779e-08,2.14529e-10,3.1238e-08,0.0,4.40779e-08,4.40779e-08,1180.847412,1.072301,5.73674e-08
dc3,766396,116835,116835,0,r,0.347674,0,6.559644,1,114190,66.828,59.534,28.877000000000002,28.326,29.065,28.910999999999998,3911.518066,3652.551758,4122.861816,4105.394531,3770.375,3812.522217,3772.478027,3808.844238,3809.474365,4124.087402,1.0709,0.948739,0.952775,1.037435,1.025966,1.036856,1.026957,1.026787,0.948457,0.0,2.09608e-08,1.12565e-10,1.04121e-11,1.09786e-11,7.48949e-12,4.87098e-11,8.72941e-12,1.09786e-11,1.09786e-11,3482.192871,1.123292,7.43356e-07
