matrix,nnz,rows,cols,sym,type,range-a-p,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-prc,ent-prc,row-prc-a-p,row-prc-a-n,row-prc-f-p,row-prc-f-n,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt-a-p,row-split-rt-a-n,row-split-rt-f-p,row-split-rt-f-n,row-comp-rt-a-p,row-dual-rt-a-p,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup-a-p,row-split-spup-a-n,row-split-spup-f-p,row-split-spup-f-n,row-comp-spup-a-p,row-dual-spup-a-p,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr-a-p,row-split-relerr-a-n,row-split-relerr-f-p,row-split-relerr-f-n,row-comp-relerr-a-p,row-dual-relerr-a-p,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr
matrix_9,2121550,103430,103430,0,r,0.000269,0,20.51194,12,4057,99.74499999999999,95.829,84.15599999999999,69.961,98.819,96.20100000000001,155.582596,142.173187,152.103806,162.097122,137.788391,159.799545,141.52829,151.898148,139.752029,153.934937,1.094317,1.022871,0.959811,1.129142,0.973611,1.099304,1.024256,1.113276,1.010704,0.0,2.33005e-08,1.15559e-09,2.67545e-11,1.85429e-08,6.42713e-12,1.85788e-08,1.15559e-09,1.85429e-08,1.85429e-08,131.467865,1.183427,3.02839e-08
3D_51448_3D,1056610,51448,51448,0,r,0.000986,0,20.537436,12,5671,99.18,97.612,89.93100000000001,75.254,97.045,86.917,116.188606,102.779076,111.44957,115.225021,106.647614,126.925468,105.280418,126.272896,104.610596,111.526909,1.130469,1.042522,1.008363,1.089463,0.915408,1.103611,0.920139,1.110677,1.041799,0.0,6.51398e-08,2.1666e-09,8.36655e-12,4.81333e-09,5.48504e-12,5.52614e-09,1.79705e-09,4.81333e-09,4.81333e-09,97.227135,1.195022,1.28412e-07
ibm_matrix_2,1056610,51448,51448,0,r,0.000985,0,20.537436,12,5671,99.18,97.627,89.982,75.497,97.045,86.917,116.112129,102.273438,111.450592,114.150368,105.566559,126.137695,105.27552,126.312416,105.015648,111.567741,1.135311,1.041826,1.017186,1.099895,0.920519,1.102936,0.919246,1.105665,1.040732,0.0,3.80929e-08,4.2201e-09,1.52839e-11,9.24094e-09,9.59877e-12,1.04833e-08,3.4633e-09,9.24094e-09,9.24094e-09,96.918976,1.198033,8.69676e-08
webbase-1M,3105536,1000005,1000005,0,r,0.032201,0,3.10552,1,4700,70.395,50.583,67.914,5.383,100.0,22.795,489.736328,457.57019,496.123627,496.414978,501.353088,484.224426,457.194733,504.849243,502.759857,494.156677,1.070298,0.987126,0.986546,0.976829,1.011383,1.071177,0.970064,0.974096,0.991055,0.0,2.69203e-08,4.35389e-09,8.81856e-10,2.40867e-08,3.47634e-10,2.69203e-08,3.3635e-09,2.40867e-08,2.40867e-08,432.405243,1.132586,4.07078e-08
language,1216334,399130,399130,0,r,0.066169,0,3.047463,1,11555,38.696000000000005,28.081,24.29,0.0,41.757,0.0,951.591797,884.347595,983.421082,991.338379,958.445068,948.240601,956.148071,948.318909,959.12915,974.674438,1.076038,0.967634,0.959906,0.99285,1.003534,0.995235,1.003451,0.992141,0.976318,0.0,2.74751e-08,8.25212e-09,1.85463e-10,7.99223e-09,0.0,1.29079e-08,0.0,7.99223e-09,7.99223e-09,837.747192,1.135894,5.34106e-08
memchip,14810202,2707524,2707524,0,r,0.007183,0,5.470017,2,27,99.124,61.648,22.758,12.534,99.018,96.45,853.385864,709.934631,768.151794,1001.8255,855.930481,856.381104,718.684692,715.922424,854.44458,1017.022766,1.202063,1.11096,0.851831,0.997027,0.996502,1.187427,1.192009,0.998761,0.839102,0.0,3.3154e-08,1.29398e-08,1.10743e-10,1.24156e-08,7.59351e-11,3.06301e-08,1.09531e-08,1.24156e-08,1.24156e-08,661.033997,1.290986,5.12848e-08
stomach,3021648,213360,213360,0,r,0.007154,0,14.162205,7,19,95.779,71.044,26.924,0.0,99.997,19.88,147.406662,124.508995,151.84407,152.71283,146.822662,147.413528,125.066307,153.291367,146.505157,149.60611,1.183904,0.970777,0.965254,1.003978,0.999953,1.178628,0.961611,1.006153,0.985298,0.0,4.96191e-08,1.65916e-08,3.33147e-10,2.69119e-08,0.0,4.96146e-08,1.6477e-08,2.69119e-08,2.69119e-08,114.485085,1.287562,7.23217e-08
gsm_106857,21758924,589446,589446,1,r,0.00835,0,36.914194,12,106,98.685,51.504000000000005,25.302999999999997,25.302000000000003,84.57000000000001,76.85499999999999,1031.407227,762.369385,821.5802,1120.230591,986.61792,987.752136,854.419373,872.788879,983.890747,1034.615479,1.352897,1.255394,0.92071,1.045397,1.044196,1.207144,1.181737,1.048294,0.996899,0.0,4.47074e-08,1.76567e-08,1.71196e-10,1.21266e-11,1.20979e-11,1.64035e-08,8.697e-09,1.21266e-11,1.21266e-11,714.81958,1.442892,7.83862e-08
largebasis,5560100,440020,440020,0,r,0.011514,0,12.636017,4,14,90.647,88.488,25.179000000000002,25.179000000000002,53.238,25.179000000000002,272.346436,222.214432,286.218536,285.745087,254.914246,254.96077,249.984741,255.042465,256.481689,262.888489,1.225602,0.951533,0.95311,1.068385,1.06819,1.089452,1.067847,1.061855,1.035977,0.0,3.99963e-08,1.78998e-08,8.71628e-12,8.48578e-12,8.48578e-12,2.13408e-08,8.48578e-12,8.48578e-12,8.48578e-12,203.698654,1.337007,6.54848e-08
Freescale1,18920347,3428755,3428755,0,r,0.008902,0,5.518139,1,27,98.411,64.895,27.961000000000002,18.099999999999998,97.083,93.10300000000001,1163.999634,948.615906,1014.069885,1337.726196,1135.783447,1174.287109,953.215515,954.223206,1148.259888,1361.993774,1.227051,1.14785,0.870133,1.024843,0.991239,1.22113,1.21984,1.013707,0.854629,0.0,4.46191e-08,2.25688e-08,1.19291e-10,1.3187e-08,8.68768e-11,2.9197e-08,2.05988e-08,1.3187e-08,1.3187e-08,879.331848,1.323732,6.14051e-08
t3dh_a,4352105,79171,79171,1,r,0.00031,0,54.970949,20,81,99.99,82.973,73.976,44.080999999999996,100.0,99.49799999999999,157.561569,129.575974,134.389954,151.466721,139.20282,148.317154,130.195267,130.816605,137.61734,141.807678,1.215978,1.172421,1.040239,1.131885,1.062329,1.210194,1.204446,1.144925,1.111093,0.0,4.25137e-08,3.80864e-08,6.1837e-11,7.73364e-11,2.74898e-11,4.25137e-08,3.11644e-08,7.73364e-11,7.73364e-11,123.623711,1.274525,7.22644e-08
t3dh,4352105,79171,79171,1,r,0.00031,0,54.970949,20,81,99.99,82.973,73.976,44.080999999999996,100.0,99.49799999999999,161.819016,129.579681,135.460648,151.516647,139.373413,148.361542,130.197693,131.087708,137.618759,141.892899,1.248799,1.194583,1.067995,1.161047,1.090707,1.242872,1.234433,1.17585,1.140431,0.0,4.48344e-08,3.95856e-08,6.21986e-11,7.73299e-11,2.78396e-11,4.48344e-08,3.35692e-08,7.73299e-11,7.73299e-11,123.590302,1.309318,7.25514e-08
stat96v4,491336,3173,63076,0,r,0.012214,0,154.849039,2,41473,99.823,24.462,21.102,0.0,100.0,66.06,367.035828,238.61351,243.226532,401.205353,384.729218,498.228424,243.290588,298.556885,360.308899,362.57428,1.538202,1.509029,0.914833,0.954011,0.736682,1.508631,1.229366,1.01867,1.012305,0.0,4.36684e-08,4.26054e-08,3.49995e-10,7.21003e-09,0.0,4.36684e-08,3.55185e-08,7.21003e-09,7.21003e-09,227.788345,1.611302,2.16129e-07
t3dh_e,4352105,79171,79171,1,r,0.0,0,54.970949,20,81,100.0,18.807,15.995000000000001,15.639,100.0,100.0,157.602234,129.579102,133.97702,159.847046,154.097061,154.456039,130.206055,130.241989,154.258011,156.823074,1.216263,1.176338,0.985956,1.022747,1.02037,1.210406,1.210072,1.021679,1.004968,0.0,4.54827e-08,4.54827e-08,1.27447e-10,1.16635e-10,1.05447e-10,4.54827e-08,4.54827e-08,1.16635e-10,1.16635e-10,123.618561,1.274908,7.87664e-08
